Entity,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,"GHG emissions per kilogram (Poore & Nemecek, 2018)",Land use per kilogram (mÂ² per kilogram),Freshwater withdrawals per kilogram (liters per kilogram),Scarcity-weighted water use per kilogram (liters per kilogram),"Eutrophying emissions per kilogram (Poore & Nemecek, 2018)"
Apples,0,0,0.2,0,0.1,0,0,0.43,0.63,180.1,12948.6,1.45
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.86,1.93,114.5,661.9,3.29
Barley (Beer),0,0,0.2,0.1,0,0.5,0.3,1.18,1.11,17.1,696.4,2.33
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,99.48,326.21,1451.2,34732.5,301.41
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,33.3,43.24,2714.3,119805.2,365.29
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,1.81,1.83,217.7,9493.3,5.41
Berries & Grapes,0,0,0.7,0,0.2,0.2,0,1.53,2.41,419.6,21162.1,6.12
Brassicas,0,0,0.3,0,0.1,0,0,0.51,0.55,119.4,8455.1,5.01
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,3.2,2.04,620.1,16438.6,16.92
Cassava,0.6,0,0.2,0,0.1,0,0,1.32,1.81,0,0,0.69
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,23.88,87.79,5605.2,180850.6,98.37
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,0.39,0.86,82.7,4662.7,2.24
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,28.53,21.62,25.9,337,110.52
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,46.65,68.96,540.6,2879.2,87.08
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.67,6.27,577.7,17982.7,21.76
Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,13.63,8.41,3691.3,41572.2,235.12
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0,3.23,9.11,1852.3,61797.9,14.14
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,39.72,369.81,1802.8,141925,97.13
Maize,0.3,0,0.5,0.1,0.1,0.1,0,1.7,2.94,215.7,10863.3,4.03
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,3.15,8.95,628.2,19786.3,10.65
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.43,12.96,4133.8,229889.8,19.15
Oatmeal,0,0,1.4,0,0.1,0.1,0,2.48,7.6,482.4,18786.2,11.23
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,,26.31,2141.8,177480.2,37.26
Onions & Leeks,0,0,0.2,0,0.1,0,0,0.5,0.39,14.3,932,3.24
Other Fruit,0.1,0,0.4,0,0.2,0,0,1.05,0.89,153.5,9533.1,2.43
Other Pulses,0,0,1.1,0,0.1,0.4,0,1.79,15.57,435.7,22477.4,17.08
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.53,0.38,102.5,4911.4,2.27
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,,2.42,6.4,36.2,10.67
Peas,0,0,0.7,0,0.1,0,0,0.98,7.46,396.6,27948.2,7.52
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,12.31,17.36,1795.8,66867.4,76.38
Potatoes,0,0,0.2,0,0.1,0,0,0.46,0.88,59.1,2754.2,3.48
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,9.87,12.22,660,14177.9,48.7
Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,,10.63,237.7,10593.7,19.19
Prawns (farmed),,,,,,,,26.87,2.97,3515.4,127259,227.22
Rice,0,0,3.6,0.1,0.1,0.1,0.1,4.45,2.8,2248.4,49576.3,35.07
Root Vegetables,0,0,0.2,0,0.1,0,0,0.43,0.33,28.4,929.2,1.61
Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,,,,,
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,,10.52,414.6,14888.2,11.69
Soy milk,0.2,0,0.1,0.2,0.1,0.1,0.3,0.98,0.66,27.8,955.6,1.06
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,,17.66,1007.9,36369.4,50.66
Tofu,1,0,0.5,0.8,0.2,0.2,0.3,3.16,3.52,148.6,5113.2,6.16
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,2.09,0.8,369.8,5335.7,7.51
Wheat & Rye (Bread),0.1,0,0.8,0.2,0.1,0.1,0.1,1.57,3.85,647.5,33385.6,7.16
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.79,1.78,78.9,1149.3,4.57